Date,OpenValue,CloseValue,DayAverage
2019-12-09,151.07000732421875,151.36000061035156,151.21500396728516
2019-12-10,151.2899932861328,151.1300048828125,151.20999908447266
2019-12-11,151.5399932861328,151.6999969482422,151.6199951171875
2019-12-12,151.64999389648438,153.24000549316406,152.44499969482422
2019-12-13,153.0,154.52999877929688,153.76499938964844
2019-12-16,155.11000061035156,155.52999877929688,155.31999969482422
2019-12-17,155.4499969482422,154.69000244140625,155.06999969482422
2019-12-18,154.3000030517578,154.3699951171875,154.33499908447266
2019-12-19,154.0,155.7100067138672,154.8550033569336
2019-12-20,157.35000610351562,157.41000366210938,157.3800048828125
2019-12-23,158.1199951171875,157.41000366210938,157.76499938964844
2019-12-24,157.47999572753906,157.3800048828125,157.43000030517578
2019-12-26,157.55999755859375,158.6699981689453,158.11499786376953
2019-12-27,159.4499969482422,158.9600067138672,159.2050018310547
2019-12-30,158.99000549316406,157.58999633789062,158.29000091552734
2019-12-31,156.77000427246094,157.6999969482422,157.23500061035156
2020-01-02,158.77999877929688,160.6199951171875,159.6999969482422
2020-01-03,158.32000732421875,158.6199951171875,158.47000122070312
2020-01-06,157.0800018310547,159.02999877929688,158.05500030517578
2020-01-07,159.32000732421875,157.5800018310547,158.45000457763672
2020-01-08,158.92999267578125,160.08999633789062,159.50999450683594
2020-01-09,161.83999633789062,162.08999633789062,161.96499633789062
2020-01-10,162.82000732421875,161.33999633789062,162.0800018310547
2020-01-13,161.75999450683594,163.27999877929688,162.5199966430664
2020-01-14,163.38999938964844,162.1300048828125,162.76000213623047
2020-01-15,162.6199951171875,163.17999267578125,162.89999389648438
2020-01-16,164.35000610351562,166.1699981689453,165.26000213623047
2020-01-17,167.4199981689453,167.10000610351562,167.26000213623047
2020-01-21,166.67999267578125,166.5,166.58999633789062
2020-01-22,167.39999389648438,165.6999969482422,166.54999542236328
2020-01-23,166.19000244140625,166.72000122070312,166.4550018310547
2020-01-24,167.50999450683594,165.0399932861328,166.27499389648438
2020-01-27,161.14999389648438,162.27999877929688,161.71499633789062
2020-01-28,163.77999877929688,165.4600067138672,164.62000274658203
2020-01-29,167.83999633789062,168.0399932861328,167.93999481201172
2020-01-30,174.0500030517578,172.77999877929688,173.41500091552734
