Date,OpenValue,CloseValue,DayAverage
2019-10-30,62.599998474121094,63.00199890136719,62.80099868774414
2019-10-31,62.619998931884766,62.98400115966797,62.80200004577637
2019-11-01,63.263999938964844,62.6619987487793,62.96299934387207
2019-11-04,62.959999084472656,63.49399948120117,63.226999282836914
2019-11-05,63.92399978637695,63.444000244140625,63.68400001525879
2019-11-06,63.599998474121094,65.31600189208984,64.45800018310547
2019-11-07,65.8280029296875,67.10800170898438,66.46800231933594
2019-11-08,66.9000015258789,67.4280014038086,67.16400146484375
2019-11-11,68.79000091552734,69.01799774169922,68.90399932861328
2019-11-12,69.37999725341797,69.98600006103516,69.68299865722656
2019-11-13,71.0,69.22200012207031,70.11100006103516
2019-11-14,69.22200012207031,69.87000274658203,69.54600143432617
2019-11-15,70.12799835205078,70.43399810791016,70.28099822998047
2019-11-18,70.58399963378906,69.99800109863281,70.29100036621094
2019-11-19,70.3499984741211,71.90399932861328,71.12699890136719
2019-11-20,72.0,70.44400024414062,71.22200012207031
2019-11-21,70.9020004272461,70.96600341796875,70.93400192260742
2019-11-22,68.03199768066406,66.60800170898438,67.31999969482422
2019-11-25,68.86399841308594,67.26799774169922,68.06599807739258
2019-11-26,67.05400085449219,65.78399658203125,66.41899871826172
2019-11-27,66.2239990234375,66.25800323486328,66.24100112915039
2019-11-29,66.22200012207031,65.98799896240234,66.10499954223633
2019-12-02,65.87999725341797,66.9739990234375,66.42699813842773
2019-12-03,66.52400207519531,67.23999786376953,66.88199996948242
2019-12-04,67.55000305175781,66.60600280761719,67.0780029296875
2019-12-05,66.56600189208984,66.0739974975586,66.31999969482422
2019-12-06,67.0,67.1780014038086,67.0890007019043
2019-12-09,67.31800079345703,67.90599822998047,67.61199951171875
2019-12-10,67.99199676513672,69.76799774169922,68.87999725341797
2019-12-11,70.3759994506836,70.54000091552734,70.45800018310547
2019-12-12,70.98400115966797,71.93599700927734,71.45999908447266
2019-12-13,72.20999908447266,71.6780014038086,71.94400024414062
2019-12-16,72.51000213623047,76.30000305175781,74.40500259399414
2019-12-17,75.7979965209961,75.7979965209961,75.7979965209961
2019-12-18,76.1259994506836,78.62999725341797,77.37799835205078
2019-12-19,79.46399688720703,80.80799865722656,80.1359977722168
2019-12-20,82.05799865722656,81.11799621582031,81.58799743652344
2019-12-23,82.35600280761719,83.84400177001953,83.10000228881836
2019-12-24,83.6719970703125,85.05000305175781,84.36100006103516
2019-12-26,85.58200073242188,86.18800354003906,85.88500213623047
2019-12-27,87.0,86.07599639892578,86.53799819946289
2019-12-30,85.75800323486328,82.94000244140625,84.34900283813477
2019-12-31,81.0,83.66600036621094,82.33300018310547
2020-01-02,84.9000015258789,86.052001953125,85.47600173950195
2020-01-03,88.0999984741211,88.60199737548828,88.35099792480469
2020-01-06,88.09400177001953,90.30799865722656,89.20100021362305
2020-01-07,92.27999877929688,93.81199645996094,93.0459976196289
2020-01-08,94.73999786376953,98.4280014038086,96.58399963378906
2020-01-09,99.41999816894531,96.26799774169922,97.84399795532227
2020-01-10,96.35800170898438,95.62999725341797,95.99399948120117
2020-01-13,98.69999694824219,104.97200012207031,101.83599853515625
2020-01-14,108.85199737548828,107.58399963378906,108.21799850463867
2020-01-15,105.9520034790039,103.69999694824219,104.82600021362305
2020-01-16,98.75,102.697998046875,100.7239990234375
2020-01-17,101.52200317382812,102.0999984741211,101.81100082397461
2020-01-21,106.05000305175781,109.44000244140625,107.74500274658203
2020-01-22,114.37799835205078,113.91200256347656,114.14500045776367
2020-01-23,112.8499984741211,114.44000244140625,113.64500045776367
2020-01-24,114.1259994506836,112.96399688720703,113.54499816894531
2020-01-27,108.39800262451172,111.60399627685547,110.0009994506836
2020-01-28,113.697998046875,113.37999725341797,113.53899765014648
2020-01-29,115.13800048828125,116.197998046875,115.66799926757812
2020-01-30,126.48400115966797,128.16200256347656,127.32300186157227
2020-01-31,128.0,130.11399841308594,129.05699920654297
2020-02-03,134.73800659179688,156.0,145.36900329589844
2020-02-04,176.5919952392578,177.41200256347656,177.0019989013672
2020-02-05,164.65199279785156,146.94000244140625,155.7959976196289
2020-02-06,139.98399353027344,149.79200744628906,144.88800048828125
2020-02-07,146.11000061035156,149.61399841308594,147.86199951171875
2020-02-10,160.0,154.25599670410156,157.12799835205078
2020-02-11,153.75799560546875,154.87600708007812,154.31700134277344
2020-02-12,155.57400512695312,153.45799255371094,154.51599884033203
2020-02-13,148.3679962158203,160.8000030517578,154.58399963378906
2020-02-14,157.44400024414062,160.00599670410156,158.7249984741211
2020-02-18,168.32000732421875,171.67999267578125,170.0
2020-02-19,184.6999969482422,183.48399353027344,184.0919952392578
2020-02-20,182.38999938964844,179.8820037841797,181.13600158691406
2020-02-21,181.39599609375,180.1999969482422,180.7979965209961
2020-02-24,167.8000030517578,166.75799560546875,167.27899932861328
2020-02-25,169.8000030517578,159.98199462890625,164.89099884033203
2020-02-26,156.5,155.75999450683594,156.12999725341797
2020-02-27,146.0,135.8000030517578,140.9000015258789
2020-02-28,125.94000244140625,133.59800720214844,129.76900482177734
2020-03-02,142.2519989013672,148.7239990234375,145.48799896240234
2020-03-03,161.0,149.1020050048828,155.0510025024414
2020-03-04,152.79200744628906,149.89999389648438,151.34600067138672
2020-03-05,144.75399780273438,144.9080047607422,144.83100128173828
2020-03-06,138.0,140.6959991455078,139.3479995727539
2020-03-09,121.0780029296875,121.5999984741211,121.3390007019043
2020-03-10,131.88600158691406,129.0659942626953,130.4759979248047
2020-03-11,128.0399932861328,126.84600067138672,127.44299697875977
2020-03-12,116.1780014038086,112.11000061035156,114.14400100708008
2020-03-13,119.0,109.3239974975586,114.1619987487793
2020-03-16,93.9000015258789,89.01399993896484,91.45700073242188
2020-03-17,88.00199890136719,86.04000091552734,87.02099990844727
2020-03-18,77.80000305175781,72.24400329589844,75.02200317382812
2020-03-19,74.94000244140625,85.52799987792969,80.23400115966797
2020-03-20,87.63999938964844,85.50599670410156,86.572998046875
2020-03-23,86.72000122070312,86.85800170898438,86.78900146484375
2020-03-24,95.45999908447266,101.0,98.22999954223633
2020-03-25,109.05000305175781,107.8499984741211,108.45000076293945
2020-03-26,109.47799682617188,105.63200378417969,107.55500030517578
2020-03-27,101.0,102.87200164794922,101.93600082397461
2020-03-30,102.052001953125,100.4260025024414,101.2390022277832
2020-03-31,100.25,104.80000305175781,102.5250015258789
2020-04-01,100.80000305175781,96.31199645996094,98.55599975585938
2020-04-02,96.20600128173828,90.89399719238281,93.54999923706055
2020-04-03,101.9000015258789,96.00199890136719,98.95100021362305
2020-04-06,102.23999786376953,103.24800109863281,102.74399948120117
2020-04-07,109.0,109.08999633789062,109.04499816894531
2020-04-08,110.83999633789062,109.76799774169922,110.30399703979492
2020-04-09,112.41799926757812,114.5999984741211,113.50899887084961
2020-04-13,118.03199768066406,130.19000244140625,124.11100006103516
2020-04-14,139.79400634765625,141.97799682617188,140.88600158691406
2020-04-15,148.39999389648438,145.96600341796875,147.18299865722656
2020-04-16,143.38800048828125,149.04200744628906,146.21500396728516
2020-04-17,154.45599365234375,150.7779998779297,152.61699676513672
2020-04-20,146.5399932861328,149.27200317382812,147.90599822998047
2020-04-21,146.0240020751953,137.343994140625,141.68399810791016
2020-04-22,140.79600524902344,146.4219970703125,143.60900115966797
2020-04-23,145.52000427246094,141.12600708007812,143.32300567626953
2020-04-24,142.16200256347656,145.02999877929688,143.59600067138672
2020-04-27,147.52200317382812,159.75,153.63600158691406
2020-04-28,159.1280059814453,153.82400512695312,156.47600555419922
2020-04-29,158.03399658203125,160.1020050048828,159.06800079345703
2020-04-30,171.03799438476562,156.37600708007812,163.70700073242188
2020-05-01,151.0,140.26400756835938,145.6320037841797
2020-05-04,140.1999969482422,152.23800659179688,146.21900177001953
2020-05-05,157.95799255371094,153.64199829101562,155.79999542236328
2020-05-06,155.3000030517578,156.51600646972656,155.9080047607422
2020-05-07,155.44200134277344,156.00799560546875,155.7249984741211
2020-05-08,158.75399780273438,163.88400268554688,161.31900024414062
2020-05-11,158.1020050048828,162.25799560546875,160.18000030517578
2020-05-12,165.39999389648438,161.8820037841797,163.64099884033203
2020-05-13,164.16600036621094,158.19200134277344,161.1790008544922
